id:ID(Talent-ID),name,profile_path,:LABEL
7879,John Lasseter,/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg,Talent
12891,Joss Whedon,/dTiVsuaTVTeGmvkhcyJvKp2A5kr.jpg,Talent
7,Andrew Stanton,/pvQWsu0qc8JFQhMVJkTHuexUAa1.jpg,Talent
12892,Joel Cohen,/dAubAiZcvKFbboWlj7oXOkZnTSu.jpg,Talent
12893,Alec Sokolow,/v79vlRYi94BZUQnkkyznbGUZLjT.jpg,Talent
12894,Bonnie Arnold,,Talent
12895,Ed Catmull,,Talent
12896,Ralph Guggenheim,,Talent
12897,Steve Jobs,/mOMP3SwD5qWQSR0ldCIByd3guTV.jpg,Talent
8,Lee Unkrich,/bdTCCXjgOV3YyaNmLGYGOxFQMOc.jpg,Talent
7883,Ralph Eggleston,/uUfcGKDsKO1aROMpXRs67Hn6RvR.jpg,Talent
1168870,Robert Gordon,,Talent
1552883,Mary Helen Leasman,,Talent
1453514,Kim Blanchette,,Talent
1414182,Marilyn McCoppen,,Talent
7885,Randy Newman,/w0JzfoiM25nrnxYOzosPHRq6mlE.jpg,Talent
1429549,Dale E. Grahn,,Talent
7949,Robin Cooper,,Talent
7879,John Lasseter,/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg,Talent
12890,Pete Docter,/r6ngPgnReA3RHmKjmSoVsc6Awjp.jpg,Talent
7911,Joe Ranft,/f1BoWC2JbCcfP1e5hKfGsxkHzVU.jpg,Talent
1629419,Patsy Bouge,,Talent
7961,Norm DeCarlo,,Talent
12905,Ash Brannon,/6ueWgPEEBHvS3De2BHYQnYjRTig.jpg,Talent
7885,Randy Newman,/w0JzfoiM25nrnxYOzosPHRq6mlE.jpg,Talent
1748707,Roman Figun,,Talent
4949,Don Davis,,Talent
1372885,James Flamberg,,Talent
1739962,Mary Beth Smith,,Talent
1748513,Rick Mackay,,Talent
1458006,Susan Bradley,,Talent
1748557,William Reeves,,Talent
7885,Randy Newman,/w0JzfoiM25nrnxYOzosPHRq6mlE.jpg,Talent
7,Andrew Stanton,/pvQWsu0qc8JFQhMVJkTHuexUAa1.jpg,Talent
12890,Pete Docter,/r6ngPgnReA3RHmKjmSoVsc6Awjp.jpg,Talent
2216,Gary Rydstrom,/jZpr1nVfO7lldWI0YtmP1FGw7Rj.jpg,Talent
12909,Karen Robert Jackson,,Talent
953331,Chris Montan,,Talent
7893,Rich Quade,,Talent
8025,Michael Berenstein,,Talent
78009,Colin Brady,,Talent
1748682,Davey Crockett Feiten,,Talent
1454030,Angie Glocka,,Talent
1748683,Rex Grignon,,Talent
1748684,Tom K. Gurney,,Talent
8029,Jimmy Hayward,/lTDRpudEY7BDwTefXbXzMlmb0ui.jpg,Talent
1426773,Hal T. Hickel,,Talent
8035,Karen Kiser,,Talent
1748688,Anthony B. LaMolinara,,Talent
587314,Guionne Leroy,,Talent
7918,Bud Luckey,/pcCh7G19FKMNijmPQg1PMH1btic.jpg,Talent
1748689,Les Major,,Talent
7892,Glenn McQueen,,Talent
555795,Mark Oftedal,,Talent
7882,Jeff Pidgeon,/yLddkg5HcgbJg00cS13GVBnP0HY.jpg,Talent
8017,Jeff Pratt,,Talent
1184140,Steve Rabatich,,Talent
8049,Roger Rose,,Talent
1509559,Steve Segal,,Talent
1748691,Doug Sheppeck,,Talent
8050,Alan Sperling,,Talent
8010,Doug Sweetland,,Talent
8044,David Tart,,Talent
1454034,Ken Willard,,Talent
7887,Thomas Porter,,Talent
1406878,Mark Thomas Henne,,Talent
1748698,Oren Jacob,,Talent
1748699,Darwyn Peachey,,Talent
1748701,Mitch Prater,,Talent
1748703,Brian M. Rosen,,Talent
12912,Sharon Calahan,,Talent
7899,Galyn Susman,,Talent
12915,William Cone,,Talent
1748705,Shelley Daniels Lekven,,Talent
7889,Bob Pauley,,Talent
7918,Bud Luckey,/pcCh7G19FKMNijmPQg1PMH1btic.jpg,Talent
7,Andrew Stanton,/pvQWsu0qc8JFQhMVJkTHuexUAa1.jpg,Talent
12915,William Cone,,Talent
1748706,Steve Johnson,,Talent
1176752,Dan Haskett,,Talent
1088034,Tom Holloway,/a0r0T2usTBpgMI5aZbRBDW1fTl8.jpg,Talent
1447465,Jean Gillmore,,Talent
1748709,Desirée Mourad,,Talent
1748710,Kelly O'Connell,,Talent
1443471,Sonoko Konishi,,Talent
1748711,Ann M. Rockwell,,Talent
1748712,Julie M. McDonald,,Talent
1589729,Robin Lee,,Talent
1748716,Tom Freeman,,Talent
1748717,Ada Cochavi,,Talent
1336438,Dana Mulligan,,Talent
1748718,Deirdre Morrison,,Talent
1748719,Lori Lombardo,,Talent
1748720,Ellen Devine,,Talent
1468014,Lauren Beth Strogoff,,Talent
2216,Gary Rydstrom,/jZpr1nVfO7lldWI0YtmP1FGw7Rj.jpg,Talent
1425978,Gary Summers,,Talent
8276,Tim Holland,,Talent
7069,Pat Jackson,,Talent
15894,Tom Myers,,Talent
1414177,J.R. Grubbs,,Talent
1748724,Susan Sanford,,Talent
1748725,Susan Popovic,,Talent
8067,Dan Engstrom,,Talent
7902,Ruth Lambert,,Talent
84493,Mickie McGowan,/k7TjJBfINsg8vLQxJwos6XObAD6.jpg,Talent
511,Larry J. Franco,,Talent
876,Jonathan Hensleigh,/l1c4UFD3g0HVWj5f0CxXAvMAGiT.jpg,Talent
1729,James Horner,/oLOtXxXsYk8X4qq0ud4xVypXudi.jpg,Talent
4945,Joe Johnston,/fok4jaO62v5IP6hkpaaAcXuw2H.jpg,Talent
4951,Robert Dalva,,Talent
4952,Nancy Foy,/blCkmS4dqNsbPGuQfozHE6wgWBw.jpg,Talent
8023,Kyle Balda,/jR8iAP6uC0V42KbUG87qBIUO3Hj.jpg,Talent
9967,James D. Bissell,,Talent
9184,Scott Kroopf,,Talent
9196,Ted Field,/qmB7sZcgRUq7mRFBSTlSsVXh7sH.jpg,Talent
18389,Robert W. Cort,,Talent
11371,Thomas E. Ackerman,/xFDbxk53icM1ofL4iCIwB4GkUxN.jpg,Talent
42356,Chris van Allsburg,,Talent
42357,William Teitler,,Talent
56520,Greg Taylor,,Talent
56521,Jim Strain,,Talent
26502,Howard Deutch,/68Vae1HkU1NxQZ6KEmuxIpno7c9.jpg,Talent
16837,Mark Steven Johnson,/6trChNn3o2bi4i2ipgMEAytwmZp.jpg,Talent
16837,Mark Steven Johnson,/6trChNn3o2bi4i2ipgMEAytwmZp.jpg,Talent
1551320,Jack Keller,,Talent
2178,Forest Whitaker,/4pMQkelS5lK661m9Kz3oIxLYiyS.jpg,Talent
5144,Ronald Bass,,Talent
5144,Ronald Bass,,Talent
21968,Ezra Swerdlow,,Talent
70592,Deborah Schindler,/2vFzdHxcB8cEtvPlNSs2VGZ7WG3.jpg,Talent
111118,Terry McMillan,,Talent
111118,Terry McMillan,,Talent
111118,Terry McMillan,,Talent
1079697,Kenneth Edmonds,/2EqVBaDGRA0sHkEKagu2NxfP1Nm.jpg,Talent
1087695,Caron K,,Talent
37,Alan Silvestri,/chEsfnDEtRmv1bfOaNAoVEzhCc6.jpg,Talent
5506,Elliot Davis,,Talent
17698,Nancy Meyers,/nMPHU06dnvVxEjjcnPCPUQgQ2Mp.jpg,Talent
17698,Nancy Meyers,/nMPHU06dnvVxEjjcnPCPUQgQ2Mp.jpg,Talent
26160,Albert Hackett,,Talent
56106,Charles Shyer,/hnWGd74CbmTcDCFQiJ8SYLazIXW.jpg,Talent
68755,Adam Bernardi,,Talent
638,Michael Mann,/nKmUpRpuQIsYubR7vIxVKhkbaTW.jpg,Talent
638,Michael Mann,/nKmUpRpuQIsYubR7vIxVKhkbaTW.jpg,Talent
1254,Art Linson,/dEtVivCXxQBtIzmJcUNupT1AB4H.jpg,Talent
638,Michael Mann,/nKmUpRpuQIsYubR7vIxVKhkbaTW.jpg,Talent
5581,Elliot Goldenthal,/mr1rr5bQySCwp564E1Ag363SgLH.jpg,Talent
11099,Dante Spinotti,/vIb3GU52BvSIQh1MXZRFDVRnqsm.jpg,Talent
15840,Pasquale Buba,,Talent
15841,William Goldenberg,/eOgoea8HbZt2TfLn0tDNI1TepSN.jpg,Talent
15842,Dov Hoenig,,Talent
1047,Tom Rolf,,Talent
897,Bonnie Timmermann,/jM8QANtq0v7Eqy8ZYtKot27nsfK.jpg,Talent
11411,Neil Spisak,,Talent
15843,Margie Stone McShirley,,Talent
8527,Deborah Lynn Scott,,Talent
1305,Bill Abbott,,Talent
14765,Per Hallberg,,Talent
15847,Terry D. Frazee,,Talent
15848,Paul H. Haines Jr.,,Talent
15849,Neil Krepela,,Talent
13458,Joel Kramer,,Talent
15850,Tony Brubaker,,Talent
13677,Anne H. Ahrens,,Talent
1535950,Darryl M. Athons,,Talent
1478953,Cate Hardman,,Talent
