id:ID(Movie-ID),title,release_date,poster_path,overview,collection,genres,budget,revenue,rating,:LABEL
862,Toy Story,1995-10-30,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",Toy Story Collection,Animation|Comedy|Family|,30000000,373554033,7.7,Movie
8844,Jumanji,1995-12-15,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",,Adventure|Fantasy|Family|,65000000,262797249,6.9,Movie
15602,Grumpier Old Men,1995-12-22,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",Grumpy Old Men Collection,Romance|Comedy|,0,0,6.5,Movie
31357,Waiting to Exhale,1995-12-22,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",,Comedy|Drama|Romance|,16000000,81452156,6.1,Movie
11862,Father of the Bride Part II,1995-02-10,/e64sOI48hQXyru7naBFyssKFxVd.jpg,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",Father of the Bride Collection,Comedy|,0,76578911,5.7,Movie
949,Heat,1995-12-15,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",,Action|Crime|Drama|Thriller|,60000000,187436818,7.7,Movie
11860,Sabrina,1995-12-15,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",,Comedy|Romance|,58000000,0,6.2,Movie
45325,Tom and Huck,1995-12-22,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",,Action|Adventure|Drama|Family|,0,0,5.4,Movie
9091,Sudden Death,1995-12-22,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",,Action|Adventure|Thriller|,35000000,64350171,5.5,Movie
710,GoldenEye,1995-11-16,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,James Bond Collection,Adventure|Action|Thriller|,58000000,352194034,6.6,Movie
9087,The American President,1995-11-17,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",,Comedy|Drama|Romance|,62000000,107879496,6.5,Movie
12110,Dracula: Dead and Loving It,1995-12-22,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",,Comedy|Horror|,0,0,5.7,Movie
21032,Balto,1995-12-22,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Balto Collection,Family|Animation|Adventure|,0,11348324,7.1,Movie
10858,Nixon,1995-12-22,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",,History|Drama|,44000000,13681765,7.1,Movie
1408,Cutthroat Island,1995-12-22,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",,Action|Adventure|,98000000,10017322,5.7,Movie
524,Casino,1995-11-22,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,,Drama|Crime|,52000000,116112375,7.8,Movie
