:START_ID(Talent-ID),:TYPE,:END_ID(Movie-ID),Role
31,Acts,862,Woody (voice)
12898,Acts,862,Buzz Lightyear (voice)
7167,Acts,862,Mr. Potato Head (voice)
12899,Acts,862,Slinky Dog (voice)
12900,Acts,862,Rex (voice)
7907,Acts,862,Hamm (voice)
8873,Acts,862,Bo Peep (voice)
1116442,Acts,862,Andy (voice)
12901,Acts,862,Sid (voice)
12133,Acts,862,Mrs. Davis (voice)
8655,Acts,862,Sergeant (voice)
12903,Acts,862,Hannah (voice)
37221,Acts,862,TV Announcer (voice)
6837,Acts,15602,Max Goldman
3151,Acts,15602,John Gustafson
13567,Acts,15602,Ariel Gustafson
16757,Acts,15602,Maria Sophia Coletta Ragetti
589,Acts,15602,Melanie Gustafson
16523,Acts,15602,Grandpa Gustafson
7166,Acts,15602,Jacob Goldman
67773,Acts,11862,George Banks
3092,Acts,11862,Nina Banks
519,Acts,11862,Franck Eggelhoffer
70696,Acts,11862,Annie Banks-MacKenzie
59222,Acts,11862,Bryan MacKenzie
18793,Acts,11862,Matty Banks
14592,Acts,11862,Howard Weinstein
20906,Acts,11862,John MacKenzie
54348,Acts,11862,Joanna MacKenzie
209,Acts,11862,Dr. Megan Eisenberg
26510,Acts,11862,Mr. Habib
24358,Acts,11862,Wife Mrs. Habib
1158,Acts,949,Lt. Vincent Hanna
380,Acts,949,Neil McCauley
5576,Acts,949,Chris Shiherlis
10127,Acts,949,Nate
3197,Acts,949,Michael Cheritto
6200,Acts,949,Justine Hanna
15851,Acts,949,Eady
15852,Acts,949,Charlene Shiherlis
34,Acts,949,Sergeant Drucker
524,Acts,949,Lauren Gustafson
15854,Acts,949,Bosko
119232,Acts,949,Kelso
31004,Acts,949,Richard Torena
5587,Acts,949,Alan Marciano
15853,Acts,949,Detective Casals
352,Acts,949,Donald Breedan
11160,Acts,949,Trejo
9290,Acts,949,Hugh Benny
886,Acts,949,Roger Van Zant
34839,Acts,949,Waingro
4158,Acts,949,Elaine Cheritto
86602,Acts,949,Schwartz
158452,Acts,949,Albert Torena
12799,Acts,949,Dr. Bob
3982,Acts,949,Ralph
181343,Acts,949,Anna Trejo
81687,Acts,949,Armoured Guard
91756,Acts,949,Hooker's Mother
160970,Acts,949,Timmons
175600,Acts,949,Shooter at Drive-in
12879,Acts,949,Driver at Drive-in
9258,Acts,949,Officer Bruce
167501,Acts,949,Claudia
95145,Acts,949,Bosko's Date
58535,Acts,949,Sergeant Heinz
161939,Acts,949,Rachel
6580,Acts,949,Captain Jackson
95796,Acts,949,Harry Dieter
166543,Acts,949,Bank Guard
43010,Acts,949,Armoured Truck Driver
37252,Acts,949,Hostage Girl
1457709,Acts,949,1st SIS Detective in the hallway (uncredited)
4971,Acts,949,Solenko Restaurant Manager (uncredited)
941147,Acts,949,Castilian Woman (uncredited)
17358,Acts,949,Lillian
4790,Acts,949,Construction Clerk
1090464,Acts,949,Children's Hospital Doctor
1090465,Acts,949,Dominick
1576419,Acts,949,Bartender
106714,Acts,949,Casals' Date
116153,Acts,949,Marcia Drucker
237923,Acts,949,Armoured Guard
4047,Acts,949,Basketball Player
57347,Acts,949,Children's Hospital Nurse
1576553,Acts,949,Detective
218094,Acts,949,Prostitute
1491009,Acts,949,Bar Couple (uncredited)
1137847,Acts,949,Restaurant Patron (uncredited)
1504112,Acts,949,Police Woman (uncredited)
1504568,Acts,949,Grocery Store Employee (uncredited)
20625,Acts,949,Cusamano (uncredited)
1502517,Acts,949,Grocery Store Cop (uncredited)
114625,Acts,949,Waitress (uncredited)
1576562,Acts,949,Bank Guard (uncredited)
1584544,Acts,949,Ellis (uncredited)
3,Acts,11860,Linus Larrabee
15887,Acts,11860,Sabrina Fairchild
17141,Acts,11860,David Larrabee
4301,Acts,11860,Mrs. Ingrid Tyson
12957,Acts,11860,Maude Larrabee
8937,Acts,11860,Fairchild
16554,Acts,11860,Patrick Tyson
34485,Acts,11860,Elizabeth Tyson
13314,Acts,11860,Mack
20234,Acts,11860,Irene
73827,Acts,11860,Louis
13242,Acts,11860,Scott
1163,Acts,11860,Rosa
138242,Acts,11860,Joanna
62531,Acts,11860,Martine
59206,Acts,11860,Linda
163775,Acts,11860,Ron
452,Acts,11860,Nurse
52475,Acts,11860,Carol
1853632,Acts,11860,Ticket Taker
1853633,Acts,11860,Singer at Larrabee Party
153226,Acts,11860,Butler
1853634,Acts,11860,Red Head
28029,Acts,11860,Bartender
1853638,Acts,11860,Kelly
97364,Acts,11860,India
1317065,Acts,11860,Make-Up Assistant
6554,Acts,11860,Assistant
37918,Acts,11860,Model
1217813,Acts,11860,Model
1853644,Acts,11860,Model
1115935,Acts,11860,Model
1853645,Acts,11860,Model
1853646,Acts,11860,Model
76093,Acts,11860,Paris Friend
1853647,Acts,11860,Paris Friend
1853651,Acts,11860,Paris Friend
1853653,Acts,11860,Paris Friend
1460738,Acts,11860,Paris Friend
1853654,Acts,11860,Paris Friend
1632066,Acts,11860,Helicopter Pilot
1853655,Acts,11860,Gulf Stream Pilot
4184,Acts,11860,Sheik
1853657,Acts,11860,Tyson Butler
1853658,Acts,11860,Mother in Hospital
1357100,Acts,11860,Father in Hospital
157428,Acts,11860,Trainer
1211979,Acts,11860,Secretary
1853660,Acts,11860,Moroccan Waiter
1853661,Acts,11860,Senator
1548251,Acts,11860,Japanese Businessman (uncredited)
1221663,Acts,11860,Airport Employee (uncredited)
1811338,Acts,11860,Head Butler (uncredited)
1853663,Acts,11860,Businessman in Window (uncredited)
1099770,Acts,11860,Wedding Guest (uncredited)
1853664,Acts,11860,Pizza Patron (uncredited)
1853665,Acts,11860,Ballroom Dancer (uncredited)
53283,Acts,45325,Tom Sawyer
51214,Acts,45325,Huck Finn
38581,Acts,45325,Becky Thatcher
8316,Acts,45325,Muff Potter
87007,Acts,45325,Aunt Polly
57448,Acts,45325,Injun Joe
102313,Acts,45325,Townsperson
15111,Acts,9091,Darren Francis Thomas McCord
6280,Acts,9091,Joshua Foss
8656,Acts,9091,Matthew Hallmark
10361,Acts,9091,Vizepräsident Daniel Bender
12928,Acts,9091,Tyler
79088,Acts,9091,Emily McCord
517,Acts,710,James Bond
48,Acts,710,Alec Trevelyan
10695,Acts,710,Natalya Fyodorovna Simonova
10696,Acts,710,Xenia Onatopp
10671,Acts,710,Jack Wade
5309,Acts,710,M
3757,Acts,710,General Arkady Grigorovich Ourumov
1923,Acts,710,Valentin Dmitrovich Zukovsky
10697,Acts,710,Boris Grishenko
10698,Acts,710,Defense Minister Dmitri Mishkin
9906,Acts,710,Q
10699,Acts,710,Miss Moneypenny
10648,Acts,710,Bill Tanner
10700,Acts,710,Caroline
10701,Acts,710,Severnaya Duty Officer
55911,Acts,710,Admiral Chuck Farrell
27425,Acts,710,Computer Store Manager
6613,Acts,710,Irina
29054,Acts,710,Anna
41742,Acts,710,Mig Pilot
3392,Acts,9087,Andrew Shepherd
516,Acts,9087,Sydney Ellen Wade
521,Acts,9087,Lewis Rothschild
8349,Acts,9087,A.J. MacInerney
63279,Acts,9087,Robin McCall
112080,Acts,9087,Lucy Shepherd
20767,Acts,9087,Janie Basdin
19839,Acts,9087,Leon Kodak
3037,Acts,9087,Senator Bob Rumson
42133,Acts,9087,Beth Wade
61980,Acts,9087,Susan Sloan
78494,Acts,9087,Agent Cooper
42003,Acts,9087,Esther MacInerney
131642,Acts,9087,David
43115,Acts,9087,President René Jean D'Astier
4251,Acts,9087,Leo Solomon
43978,Acts,9087,Chairman of the Joint Chiefs
92808,Acts,9087,Jeff
7633,Acts,12110,Count Dracula
14639,Acts,12110,Prof. Abraham Van Helsing
1219,Acts,12110,Mina Seward
12688,Acts,12110,Thomas Renfield
12812,Acts,12110,Lucy Westenra
13640,Acts,12110,Dr. Jack Seward
6106,Acts,12110,Jonathan Harker
29709,Acts,12110,Martin
53570,Acts,12110,Essie
170185,Acts,12110,Woodbridge
10774,Acts,12110,Madame Ouspenskaya
16935,Acts,1408,Morgan Adams
8654,Acts,1408,William Shaw
8924,Acts,1408,Dawg
7868,Acts,1408,John Reed
8979,Acts,1408,Ainstee
16936,Acts,1408,Glasspoole
16937,Acts,1408,Mr. Blair
13925,Acts,1408,Snelgrave
35769,Acts,1408,Bowen
133771,Acts,1408,Scully
1166,Acts,1408,Black Harry
127166,Acts,1408,Bishop
1220350,Acts,1408,Fiddler Pirate
1252814,Acts,1408,Captain Trotter
91662,Acts,1408,Toussant
31294,Acts,1408,Lady
17202,Acts,1408,Lieutenant
1649736,Acts,1408,Auctioneer
90625,Acts,1408,Mordachai Fingers
1117347,Acts,1408,Bartender
1495190,Acts,1408,Executioner
1466675,Acts,1408,Hastings
1420324,Acts,1408,Helmsman
16792,Acts,1408,Snake the Lookout
2480,Acts,1408,Fleming
2479,Acts,1408,Captain Perkins
19704,Acts,1408,Dawg's Pirate
1715,Acts,1408,Dawg's Pirate
1221761,Acts,1408,Dawg's Pirate
178622,Acts,1408,Dawg's Pirate
64102,Acts,1408,Dawg's Pirate
204,Acts,4584,Marianne Dashwood
7056,Acts,4584,Elinor Dashwood
3291,Acts,4584,Edward Ferrars
207,Acts,4584,Mr. Dashwood
4566,Acts,4584,Col. Christopher Brandon
20769,Acts,4584,Lucy Steele
16700,Acts,4584,John Willoughby
41419,Acts,4584,Mr. Palmer
11356,Acts,4584,Charlotte Jennings Palmer
23076,Acts,4584,Sir John Middleton
31923,Acts,4584,Doctor Harris
10726,Acts,4584,John Dashwood
17477,Acts,4584,Fanny Ferrars Dashwood
9138,Acts,4584,Mrs. Dashwood
937907,Acts,4584,Margaret Dashwood
1220119,Acts,4584,Mrs. Jennings
141551,Acts,4584,Robert Ferrars
3129,Acts,5,Ted the Bellhop
3131,Acts,5,Man
3130,Acts,5,Angela
3125,Acts,5,Elspeth
3141,Acts,5,Margaret
62,Acts,5,Leo
138,Acts,5,Chester Rush
3122,Acts,5,Jezebel
3123,Acts,5,Diana
3124,Acts,5,Athena
3127,Acts,5,Raven
2545,Acts,5,Long Hair Yuppy Scum
3126,Acts,5,Eva
3128,Acts,5,Kiva
2555,Acts,5,Siegfried
3132,Acts,5,Sarah
3134,Acts,5,Wife
3138,Acts,5,Betty
3137,Acts,5,Norman
3136,Acts,5,TV Dancing Girl
3133,Acts,5,Corpse
3135,Acts,5,Juancho
37336,Acts,5,Hooker
3140,Acts,5,Sam the Bellhop
7879,Supports,862,Director
12891,Supports,862,Screenplay
7,Supports,862,Screenplay
12892,Supports,862,Screenplay
12893,Supports,862,Screenplay
12894,Supports,862,Producer
